State,2000
United States,"39078598"
Alabama ,"479734"
Alaska ,"87739"
Arizona,"638515"
Arkansas ,"247079"
California,"4960210"
Colorado,"819906"
Connecticut,"633867"
Delaware ,"111260"
District of Columbia,"133155"
Florida,"1968126"
Georgia,"1148814"
Hawaii ,"184130"
Idaho ,"149622"
Illinois,"1876455"
Indiana,"672835"
Iowa,"351922"
Kansas ,"385924"
Kentucky ,"402094"
Louisiana ,"453353"
Maine ,"170334"
Maryland,"979588"
Massachusetts,"1266113"
Michigan,"1242388"
Minnesota,"783613"
Mississippi ,"256581"
Missouri,"695491"
Montana ,"124462"
Nebraska ,"230857"
Nevada ,"206361"
New Hampshire ,"207431"
New Jersey,"1510429"
New Mexico ,"226334"
New York,"3031927"
North Carolina,"1044025"
North Dakota ,"80545"
Ohio,"1375311"
Oklahoma ,"383381"
Oregon,"488862"
Pennsylvania,"1618658"
Rhode Island ,"156862"
South Carolina ,"454656"
South Dakota ,"89855"
Tennessee,"649844"
Texas,"2646909"
Utah,"276360"
Vermont ,"103476"
Virginia,"1232454"
Washington,"932352"
West Virginia ,"157883"
Wisconsin,"690065"
Wyoming ,"60451"
Puerto Rico,"378586"
